submission_date,reviewer_id,product_id,product_name,product_brand,site_category_lv1,site_category_lv2,review_title,overall_rating,recommend_to_a_friend,review_text,reviewer_birth_year,reviewer_gender,reviewer_state,inferencia_bertimbau,probabilidade_bertimbau
2018-05-03 17:27:09,d8401940f92bc39fda2ea6b667650a3ee2f3bb34aa19b1be4965eef5fd28a755,7408885,Purificador de Água Consul CPC30AB Branco,consul,Eletroportáteis,Bebedouro e Purificador de Água,Bom custo/beneficio,4,Yes,"Excelente produto, preço bom para quem não se importar em gelar água na geladeira.",1985.0,M,SP,1,0.9812
2018-01-23 13:19:14,74cc7ec6a9d16f865eb50b4b943ddf966ebf9a260b5b116855d725962e9f5f35,127005968,Pipoqueira Elétrica Britania Pop Time VM,britania,Eletroportáteis,Pipoqueira,"Gostei, bastante do produto;",4,Yes,"O produto chegou rápido na loja, para eu retirar, produto muito bom a pipoca fica bem crocante e quentinha, e é feita bem rápido, recomendo;",1988.0,F,RJ,1,0.9764
2018-04-16 17:58:31,50bb2166b4198874c769e0bc00c2495a8b9be257158df3b34086ca8e16ee72de,7313766,Livro - Míni Aurélio - O Dicionário da Língua Portuguesa,,Livros,Dicionários,Muito bom,4,Yes,"Muito bom, prático. Fácil de usar busca rápido  meu filho está super satisfeito.",1976.0,M,MG,1,0.9983
2018-01-24 14:54:02,253c684fc9071e6dce268243d20399c2f0e7e6f64b1599e4e919fb1c790f405c,16856973,Triciclo Infantil 2 Em 1 Com Capota Rosa Belfix,,Brinquedos,Mini Veículos,PRODUTO NUNCA ENTREGUE,1,No,"REVENDEDOR AR2R COMERCIAL, NÃO ENTREGOU O PRODUTO E NÃO FEZ A DEVOLUÇÃO DO DINHEIRO. NÃO CAIAM NO GOLPE!",1995.0,F,SC,0,0.0093
2018-05-26 18:27:57,cc6a72535dd551c62472c4f9a90871f00383d44820fe9ac6e70eaa50e836e469,132444050,"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Dourado",,Celulares e Smartphones,Smartphone,gostei do produto,4,Yes,muito bom o aparelho .era meu sonho e consegui e graças a oportunidadesque vcs me deram obrigado.,1962.0,M,SP,1,0.9977
2018-01-18 08:55:27,b5647a3655f10a3a692730f83b59235442856bffb5a42b90b04277da00ef2765,20666427,Mala Com Carrinho Transformers Power Up,,Papelaria,Mochilas Escolares,Adorei a mochila,5,Yes,"Gostamos mto do produto, a mochila eh maior do q eu esperava, de ótima qualidade e ainda fazia um som q eu nem esperava amei.",1951.0,F,BA,1,0.9995
2018-04-25 19:57:01,48fcd04dc25c6ebb610132b20f4b887eba2422b492e594db42b93447ba7e19fd,116923261,Aparelho de Barbear Gillette Proglide Styler,gillette,Beleza e Perfumaria,Barbearia,Muito bom o custo-benefício,4,Yes,"Gostei muito do aparelho. Bem leve, prático, ergonômico, utiliza apenas uma pilha já inclusa, e acompanha os pentes. Corta muita bem, tudo conforme esperado.",1989.0,M,SP,1,0.9994
2018-02-01 09:07:38,fcd36d6c2ff3a8f26b84352b8b9a587c5ff960ce2497351eac6d874df945d2ad,11300035,Serum Blemish  Age Defense Skinceuticals 30ml,,Beleza e Perfumaria,Dermocosméticos,Melhor anti oleosidade,5,Yes,"Melhor anti oleosidade que já usei, super recomendo!",1987.0,F,PR,1,0.9864
2018-02-25 16:46:16,d3753add54fe6c0388c1b199106ec360dcc10144a358eed6a61abdb2a99f666e,131570644,Boneca Baby Alive Cuida de Mim Loira C2691 - Hasbro,hasbro,Brinquedos,Bonecas,Amamos esta boneca,4,Yes,"Chegou bem embalada, preço muito bom, comparado com outras lojas!",1972.0,F,SP,1,0.999
2018-01-29 04:12:47,c21bf4ea263fe976db4c39d37f4f8176fea7b43675c92714f86dd96c58958a83,132474081,"Smartphone Moto G 5S Dual Chip Android 7.0 Tela 5.2"" Snapdradon 32GB 4G Wi-Fi Câmera 16MP - Prata",,Celulares e Smartphones,Smartphone,Ótimo,5,Yes,"Produto ótimo, aparelho muito bom, e a entrega é muito rápida mesmo recomendo !!",1989.0,M,SP,1,0.9992
2018-05-03 16:59:46,7ed6db9a8fc96295e0435c2d3216642e8517b16faa4ecf08630b1de178e6e874,28271111,Miniprocessador Easy CUT Colors Vermelho - MPR511-220V,,"Agro, Indústria e Comércio",Indústria Alimentícia,Amando o meu produto,5,Yes,"Excelente produto! Adorando o meu ,muito eficiente !",1984.0,F,RJ,1,0.9998
2018-03-19 16:05:40,93e25e83871954844bec047a8f249f9bc94cee243b0f149530366396e01426a7,117294081,Micro-ondas Philco PME31 30 Litros Espelhado,philco,Eletrodomésticos,Micro-ondas,"Amei, lindoooo e funciona corretamente!",4,Yes,"Atendimento rápido e eficiente. Site em que sinto segurança em comprar, sempre fico satifeita",1971.0,F,MG,1,0.9978
2018-01-28 12:44:19,dba5abb641cb027be654bc6dfe9d31eb1dfc8c0f0d5e68dfc91ae99e5556b7e9,23543077,Lubrificante Super Moto Chain Lube  Spay Mobil,,Automotivo,Aditivos e Lubrificantes para Motos,Bom,4,No,"Bom, parece que a lubrificação permanece por mais tempo, provavelmente, porquê a viscosidade eh bem maior, só parece que vai acabar rápido, pois a lata parece bem leve.",1990.0,M,SP,0,0.2285
2018-01-21 07:19:15,8fb0f6bd8b522d6ec102de1ef7ca9b64245c5890a88450895f21ee336f0d0207,9604316,Bancada De Ferramentas Didática Infantil 5924 - Poliplac,,Brinquedos,Brincando de Casinha,Surpresa para o neto,5,Yes,"Gosto de comprar nad Americanas, pois em tudo presta um serviço de satisfação ao cliente",1971.0,F,GO,1,0.9748
2018-03-04 08:52:21,40997a0e4f9dac3f36656986b06f72f772cd04c57054ce36a2fae7a0e0c6fd41,387127,Trimmer de Nariz e Orelhas Exact Series En10 - Braun,braun,Beleza e Perfumaria,Barbearia,gostei do produto,4,Yes,"produto muito prático da para levar em qualquer lugar não ocupa espaço, meu marido adorou.",1978.0,F,SP,1,0.9985
2018-05-06 18:32:13,027d53cd462b84099d1ef630d227f4d63a9c8c50c4624512a844f31e6c2d5240,31440272,Kit Palhetas para Gm Chevrolet Cobalt Ano 2011 - Atual,,Automotivo,,Muito bom,5,Yes,"Produto de ótima qualidade. Estava com dificuldades para achar um modelo de boa qualidade. Se vê pelo acabamento, pelo cuidado do fabricante com o produto. Quando precisar, voltarei a comprar.",1990.0,M,MG,1,0.9972
2018-05-06 16:24:55,5b0416cad6c910dfc06a67f0e1bbf9871369ff11ddd58afe35e5e8f9a8bed23a,132475745,"Tablet Samsung Galaxy Tab A T280 8GB Wi-Fi Tela 7"" Android Quad-Core - Preto",,Informática,Tablet e iPad,Ótimo  produto,5,Yes,Samsung  não  tenho  problemas  com  seus  aparelhos  tudo  de boa qualidade.,1982.0,M,SP,1,0.9975
2018-02-26 11:20:59,d4a191b31406fb36820e1151f8fbdb3c3aaec573e8f9f46c34f36fd0075cb38a,28331964,Console Genesis Classic Game Sega,,Games,Consoles e Jogos Clássicos,Não gostei,2,No,"Na descrição do produto diz que possui entrada para cartão SD e não possui, o jogo trava muito, Devolvi o produto e pedi a devolução do valor pago e até o momento não obtive resposta . Não recomendo",1988.0,M,SP,0,0.0007
2018-05-24 16:40:17,51854680fde3102565f34cae1f7bb6afb0ddd4ec91b4dd9c62dd56bf0a2ba178,120878029,Sofá 3 Lugares Roma Tecido Suede Amassado Marrom - American Comfort,american comfort,Móveis,Sofá,Desistência,1,No,Pedi canc no outro dia sofá muito pequeno aguardo canc e retirada do produto obrigada,1977.0,F,SP,0,0.0244
2018-04-08 06:50:08,d2e6ce6f1719c227dcc9854a0ab371b79605b6630634b97f02b2cdf67b00ede1,125768056,"Smartphone Samsung Galaxy J1 Mini Dual Chip Android 5.1 Tela 4"" 8GB 3G Wi-Fi Câmera 5MP - Dourado",samsung,Celulares e Smartphones,Smartphone,Gostei mto do produto.,4,Yes,Entregaram conforme combinado. Excelente atendimento.,1981.0,F,MG,1,0.9989
2018-01-12 19:02:17,513e0be42f09e363d93abaa3e7c2d3a40badbe18b5099182cc1c5d64668b56f4,123919826,Ventilador de Teto Ventisol Fênix Branco 3 Pás CV3 Premium - 110 ou 220V,ventisol,Casa e Construção,Climatização,Bom custo benefício.  Recomendo!,4,Yes,"Bom, eficiente e cumpre o prometido.  Bom custo benefício",1979.0,M,RJ,1,0.9993
2018-03-26 06:28:37,9fa2ae30426a3537d41a34e46722c8bc6d94988f8967fbcd5f2cf4c0efd7c05c,124460818,Balança Digital Colors Orange - G-Life,g-life,Saúde,Higiene Pessoal,Atendeu às expectativas,4,Yes,Fiquei satisfeito. Funciona bem e cabe meu pé inteiro 43 que não cabe nas balanças mais simples.,1974.0,M,SP,1,0.9256
2018-05-24 06:45:29,e7ecfe9a5153579f46a63fecd18562545d9483499d8cf71276ea0bb438e0647a,16046245,Boina Francesa Militar Lyon Preta Exército Polícia Policial,,Saúde,,Produto completamente diferente do anunciado,1,No,"Essa boina não é da marca lyon,nem marca tem, no anúncio fala que é de lã, mas é totalmente de pano. Fala que é de uso militar e policial. Nunca que um militar ou polícial usaria uma coisa dessa. Até padeiro não usaria isso .",1978.0,M,GO,0,0.0561
2018-04-19 06:36:23,3441b13f80be0ded5b448ca8cbdc31d58005f952e9651477aa9696d58d51c5cf,26593390,Tapete Para Sala Shaggy Requinte Casa Dona 100x150cm Cinza,,"Cama, Mesa e Banho",Tapetes,Tapete inferior ..produto ruim a bessa,1,No,Acho que a lojas americanas deveria ter mais compromisso com seus clientes....afinal pedimos um produto...pagamos por esse produto e eles enviam outro totalmente inferior e diferente....decepcionada com esses produtos ....e para completar entrega atrasada...para falar a verdade o produto não condiz com a descrição escrita...cuidado ao comprar este produto...Pois comprei um tapete shaggy e veio outro  no lugar dele...,1962.0,F,GO,0,0.0266
2018-04-11 07:48:50,28bf67a940e79f509c0edea1f9fae495118b1210b14b7f5b45a2eadcba7f9e2d,120721259,Conjunto de Potes Euro Home Vidro com Tampa 5 Peças,euro home,Utilidades Domésticas,Utensílios e Acessórios Domésticos,Muito bom,4,Yes,"Super recomendo, vale a pena.  Vem em uma caixa pequena. Por um momento acreditei que eram pequeninos, mas o tamanho é bom. Não são enormes, mas é um tamanho bom.  Recomendo!",1994.0,F,SP,1,0.9946
2018-01-02 15:38:35,2c412377464e591d298bdc917c67058c6158dab8c0ad34c748928447ecafc168,120183201,Câmera Digital DSLR Canon EOS Rebel T5 18MP Lente EF-S18-55mm III - Preta,canon,Câmeras e Filmadoras,Câmera Digital,"Chegou antes do prazo, quase perfeito!",5,Yes,"Único ponto a desejar é que a caixa estava amassada como se tivesse tomado um tombo, porém a câmera até o presente momento não apresentou problemas.",1996.0,M,GO,1,0.7031
2018-04-30 17:28:40,e4fd72228e192afa4b4919d585d09509a1ce3fd0e11baee4478ce2c71eaf706f,132381829,"Smart TV LED 49"" Samsung 49MU6100 UHD 4K HDR Premium com Conversor Digital 3 HDMI 2 USB 120Hz",,TV e Home Theater,TV,Excelente TV,5,Yes,"Excelente imagem, configuração simples, fácil acesso a todas as funções.",1979.0,M,SP,1,0.9994
2018-03-26 10:30:42,2b6238d32cd54d20a999a5ca661b1f36ad2f5c0442f10d4d14ba4e1b0c6296ca,18489516,Relógio Gps Frequencímetro De Pulso Garmin Forerunner 35 Preto,,Esporte e Lazer,Monitor Cardíaco,Dúvida na compra,5,Yes,Gostaria de saber se eu pegar na loja e comprar no site pode?,1977.0,M,RS,0,0.3575
2018-05-23 10:12:15,7474c2f51f23a3766aedc42b2e74aea9aea2c14e9024be74bccb61dac4689faf,23277475,Prancha Escova Removedora De Pontas Duplas Fasiz Split Corte,,Beleza e Perfumaria,Barbearia,Entrega antes da data prevista,4,Yes,"Recebi o produto antes da data prevista, veio funcionando certinho, em ótimo estado. Super recomendo.",1982.0,F,SP,1,0.9866
2018-05-20 16:55:59,1f51cf8781e4d173a5fa49492242abff1ced57b635061dcf3f1432b104cb9792,27189558,Capa Carteira Samsung Galaxy A9 910,,Celulares e Smartphones,Acessórios para Celular,Nota 10,4,Yes,A pezar  que demorou um pouco de chegar eu gostei muito da capa dei sertinho no celular a9 eu compraria de novo.,1951.0,M,BA,1,0.7247
2018-03-05 09:22:30,6d5d54e08cc345ee1a96b0979d7952575695e42cc2ebcfc51959c539c789af3a,11762400,Lavadora Roupa 10kg Colormaq Branca 127 V,,Eletrodomésticos,Máquina de Lavar e Tanquinho,gostei do produto,4,Yes,"muito bom, faz o que realmente diz na descrição do produto",1976.0,F,RJ,1,0.9987
2018-01-19 14:48:24,9543a061e1942ce86251bd25454ede00278d9110c3c6a90dcdbefb82d9dc94c5,119682651,Fone de Ouvido Sony MDR-ZX310AP/BQCE7 Headphone Preto,sony,Áudio,Fones de Ouvido,Ótimo produto.,4,Yes,"Excelente produto.  Muito satisfeita, infelizmente a Americanas é enrolada porém o produto é bom",1993.0,F,SP,1,0.9948
2018-05-29 06:29:05,3f40a103566f31c1b3bb57090d5595800c9af2c1cfd965750322473ff8ad8912,30787687,Capa Anti Impacto Iphone X Original X-Doria Defense Shield Military Tested Alumínio Usinado,,Celulares e Smartphones,Acessórios para Celular,Excelente produto.,5,Yes,Produto de excelente qualidade. Produto americano que somente é possível  encontrar no EUA e Europa. chegou antes do prazo e ainda veio um brinde fantástico. Recomendadíssimo. Parabéns,1973.0,M,SP,1,0.9994
2018-03-12 20:27:18,297dbe6d51fbde6b57b3d7af62f8004c4ac475abe3386a014354611008e30c02,131788803,"Smart TV LED 43"" LG 43UJ6525 Ultra HD 4K com Conversor Digital 4 HDMI 2 USB WebOS 3.5 Painel Ips HDR e Magic Mobile Connection",lg,TV e Home Theater,TV,Excelente Produto,5,Yes,Produto de excelente qualidade e entregue dentro do prazo. Recomendo.,1968.0,M,SP,1,0.9996
2018-01-26 06:53:13,7e8f57559ae4a9f5a88e05c615b946298f8aef6c9b0bfdac1dd6730ab3ec6106,112160607,Game PlayStation - All Stars Battle Royale - PS3,sony,Games,Playstation 3,Entrega rápida.,4,Yes,"Ótimo jogo, meu filho adorou. A entrega pelos Correios foi eficiente.  Apenas uma observação na embalagem de envio que poderia ser melhor, Americanas pode ter um cuidado a mais com seus empacotamento.",1978.0,M,RN,1,0.9863
2018-02-11 16:29:26,5c27424a3b54cdb9105d741be397ad1277434811dbd7886f8b5e9025f931246c,12566848,Controle Com Fio Xbox 360 Pc Computador 2 metros Cabo USB X-box Notebook,,Games,Acessórios Consoles Clássicos,Péssimo é o adjetivo correto,1,No,Eu comprei um produto ruim. No primeiro dia de uso começou a pular o menu do jogo sem parar. Outro problema é que ele não liga junto com o console. Se ligar ele junto com o console tem que ser desplugado e plugado novamente para ligar.,1977.0,M,MG,0,0.0068
2018-01-03 16:30:43,03a20af8f0d45704deb7a32d43acb283e5421f54b2ac7aa76814898884645ce5,18311685,Colete Elástico Putti Baixo Lombo Sacro Unissex,,Saúde,Equipamentos Médicos e Hospitalares,Ótimo,5,Yes,Amei o produto. Recomendo a todos os compradores. Serviu bem a seu propósito e chegou no prazo.,1997.0,F,PE,1,1.0
2018-02-06 13:34:54,4c4afad732c268d1af675f5e306f3adeccf02346413876b400c7fc7055c5a56a,17497374,Câmera Nikon D3300 Com Lente Af-P Dx 18-55mm Vr,,Câmeras e Filmadoras,Câmera Digital,"Péssimo, me dá desgosto passar po isto",1,No,"Efetuei a compra no dia 29 de janeiro, foram repassados 5 a 6 dias para a entrega. Hoje seria o dia limite pra entregarem (dia 06\02) E até agora nada, são 17h30 da tarde! Estou muito chateado pois estava ansioso para usufruir da câmeras, mas terei que fazer uma reclamação de atraso no site. Americinas me desapontou.",1968.0,F,RJ,0,0.0175
2018-05-20 14:54:07,01b36bf7b80ddad8f50488fc63574afc9062db70031e3658db98e6c6a3df8705,127775591,Livro - Coleção Livros de Colorir,,Livros,Livros para Colorir,Entrega super rápida,4,Yes,Amei os livros. Chegaram bem direitinho e a entrega foi bem rápida.,,,,1,0.9999
2018-02-12 06:37:56,c4c4e9db8d021c0c37258b29770b52bb8146c6bf0c850b958b1aca0b279451e7,118156060,Calça Jeans Adriane Galisteu by Iódice Super Skinny,adriane galisteu,Moda,Feminino,deixou a desejar,2,No,"O tecido é fino, não veste bem, não dá um caimento legal no corpo. Visto manequim 44 e ficou certo pra mim. O acabamento da costura  nos bolsos frontais e traseiros , no cós são de primeira  e tornam uma belíssima peça. Já comprei outra modelo de calça da mesma marca, nesse mesmo site, porém com qualidade superior.",1971.0,F,SP,0,0.0739
