submission_date,reviewer_id,product_id,product_name,product_brand,site_category_lv1,site_category_lv2,review_title,overall_rating,recommend_to_a_friend,review_text,reviewer_birth_year,reviewer_gender,reviewer_state,inferencia_tfidf,probabilidade_tfidf
2018-03-15 16:15:59,7afd0e00f84c33bec9269ee3d743e32b96bb6cade6181ec507c0a70d3e696865,113555299,Repetidor de Sinal Wireless 300Mbps RE1000-BR - Linksys,linksys,Informática e Acessórios,Equipamento de Rede / Wireless,Não cumpre o básico.,2,Yes,"Ele deveria repetir o sinal e manter o mesmo funcionando, mas não é o que acontece. O sinal fica perfeito, mas a conexão cai constantemente. Já testei todas as configurações possíveis, e o problema continua.",1990.0,M,MG,0,0.0683
2018-03-17 05:33:09,f8f3ebe2e91b43e03a6c56ce37b58af1a7a7c31a011e5e58f12df994a20e9b09,25222842,ROTEADOR WIRELESS - IWR3000N -  N 300 - Com PPB,,Informática e Acessórios,Equipamento de Rede / Wireless,ROTEADOR ECELENTE,5,Yes,OTIMO PRODUTO ! INTERFACE DE FACIL ACESSO E COM MUITOS REGURSOS.,1979.0,M,BA,1,0.9989
2018-01-12 13:16:00,c3953344a3d47e524a645f7e72f1b3a1e2a819cffd69f3d09932e78d85141eb8,19929821,Protein Crisp Bar - 12 Unidades Coco - Integralmédica,,Suplementos e Vitaminas,Massa Muscular,ótimo,4,Yes,Produto entrega rapidamente e ótimo para lanches rápidos e fit.,1988.0,M,SP,1,0.9999
2018-04-24 13:39:01,aff36062bc4085e4bc676b1327cdd6e2ad3ef35f1e80e6610fee9c705209298d,129048136,Relógio Masculino Mondaine Analógico Casual 76541g0mgnh1 com Calendário,mondaine,Relógios,Relógios de Pulso,Pior compra feita,1,No,Na descrição do produto está escrito que a pulseira é de couro mas ela não é. Fui colocar e na primeira vez ela rasgou do lado da costura e descascou. Tive que devolver o produto e ficar sem relógio!,1992.0,M,PR,0,0.0002
2018-01-12 13:20:55,7f4ca11099d14b02dcfb418ebe769de552a45556ac1765521710425071ab715a,125546331,Mochila de Costas G Mônica Swaps - Pacific,pacific,Papelaria,Mochilas Escolares,Gostei muito.,4,Yes,Produto recebido conforme o esperado! Bastante satisfeita!,1971.0,F,RJ,1,0.9664
2018-04-26 19:19:44,07a9d80e6c47b3293be810d484e4797e48cfe445396e5be404b173bc6f62b2b8,12556924,Mangueira Expansivel - Xhose - 5 até 15 metros,,Casa e Construção,Iluminação,Mangueira mágica,1,No,"Produto muito prático, mas de péssima qualidade. Quando fui usar pela segunda vez a magueira se soltou do bico e desmontou toda. Impossível usar novamente, só jogando fora mesmo.",1951.0,F,MG,0,0.0616
2018-03-26 04:07:13,2a1ed554192a9877a81e5adb9f89abf2f3af22a689d14aac0aabd25d7d333465,23588541,Microfone Condensador Multimídia com Tripé para Gravacao no PC,,Informática e Acessórios,Periféricos,Não funciona!,1,No,"Tentamos fazer o microfone funcionar, mas não conseguimos! Como posso devolver o produto?",1962.0,M,MG,0,0.0071
2018-05-24 05:17:07,142321e9e0945d941310b5009d6adadc46357de9c22885042046f4be3b787ee3,128566548,Cabide de Madeira 3 Peças - at.home,at.home,Utilidades Domésticas,"Cabide, Cestos e Varal de Roupas",elogio,4,Yes,"produto muito bom de excelente qualidade, recomendo a quem precisa.",1961.0,M,SP,1,0.9999
2018-04-03 17:29:07,15ccffd16ce3c9dd0932f9553f5467356241b965ea5307dbfdc34cad9cb94c16,17494828,Kit 3 Parede Fiesta Compativel Com Gazebo 3x3 Mts (Gazebo Nao Incluso),,Móveis,,Ótimo produto.,4,Yes,"Produto muito bom, fácil de colocar na tenda e parece ser bastante resistente.",1977.0,M,MG,1,0.9988
2018-04-13 05:17:08,5b3d4425bf07811a076a5ef91dba97f3de4d57a07455729ba125671bb4261cfd,21316739,Mesa Para Computador Elisa Mel Permóbili,,Móveis,Mesa,Top,5,Yes,Chegou no prazo e a mercadoria é boa me atendeu perfeitamente,1993.0,M,MG,1,0.9999
2018-03-21 13:22:48,c3d95c1dc8cfc07e323ff8b07282879a6f93dd7646af2bcd64e7bb3462a3b0f2,27904824,Console Playstation 3 Ultra Slim 500gb Com 74 Jogos PS3 Sony,,Games,Consoles e Jogos Clássicos,Insatisfeita,2,No,"Olá boa tarde! O produto veio com o cabo de áudio e vídeo danificado, com marcas de uso, cabo com cores bufentas, em relação ao parelho PS 3 está em perfeito estado!",1985.0,F,RN,0,0.0666
2018-05-13 19:36:10,df33c84cb0cbfdcf428e32032a176dd59dfd11aee5467ea995509b5a916db558,28695515,Capa Bag Teclado Luxo 5/8 Acolchoado Avs Casio Roland Yamaha,,Instrumentos Musicais,Som Profissional,Não é nada parecido com a foto,1,No,"Não é de luxo, o tecido não é o mesmo da foto e não é resistente",1985.0,F,SP,0,0.0288
2018-01-10 18:25:25,7540cd6d0cc49816f83191173d5c19efe75dc4497e09423e712a3ec5a49a87c2,11364496,Relógio Casio Unissex Vintage A159wa-N1df,,Relógios,Relógios,Ótimo e lindo,5,Yes,"O relógio é idêntico ao da foto. Lindo, funciona super bem e com um preço ótimo!",1994.0,F,RJ,1,0.9998
2018-03-09 15:57:17,603c43b4a287f4e8eb14e839dd9fe451c185615613a23e89750939cab3a6b7b4,112795012,Ovo de Páscoa Sonho de Valsa 270g - Lacta,lacta,Páscoa,Ovos de Páscoa,Amei,5,Yes,"Produto muito bom, delicioso. A entrega foi muito rápida, chegou em perfeito estado, amei o brinde, amei tudo.",1978.0,M,PA,1,1.0
2018-05-23 18:08:53,a1c49a5815946893c2d782e1862c9887a4c77d8f0960837d54aa8ff980c5d989,27520999,"Rodo Limpa Vidros Telescópico Cabo Extensor 3,10 Mts Para Janelas Altas",,Utilidades Domésticas,Material de Limpeza,Maravilhoso,4,Yes,Ótimo produto  Muito pratico  Muito útil  Maravilhoso,1961.0,F,SC,1,1.0
2018-04-13 21:17:48,180c7605e4453c198fee6713e028abfef7339550bbd55c815929fb6538a79e23,23952760,Bebedouro Tipo Fonte Para Gatos Prime Azul 110V,,Pet Shop,Gatos,A gata adorou !!,5,Yes,"Fácil de montar e super bacana, a gata adorou fez uma bagunça",1987.0,F,SP,1,0.9983
2018-05-16 15:23:28,4b4144ea933390f17120c748e692f4147fd7169a24966152c89e9ad5096a763c,7323012,212 Vip Feminino Eau de Parfum 50ml - Carolina Herrera,,Beleza e Perfumaria,Perfumaria,"entrega antes do previsto, adorei...",5,Yes,"A entrega foi realizada antes do previsto, chegou muito antes, adorei...",1967.0,F,SP,1,0.9996
2018-04-23 13:36:13,cb316799d8fceee133b25f8ea5d5f58e1ebfd10ad229eafcb98436e371753900,17852400,Banqueta Giratória Lírio Preta Abs Altura Ajustável Mor,,Móveis,Banco e Banqueta,Insatisfeita,1,No,Ficou faltando a parte do banco  de uma das 4 bancadas. Aguardo resposta.,1989.0,F,SP,0,0.0301
2018-03-30 06:03:46,6f0e009a34f3848bc48416b717e7ffad0890c2a678aefef9e3de8cb546695897,14685096,Filtro Uv-C 30wl Clean Jump Para Tanques Lagos Até 10.000 Litros 110v,,Pet Shop,Peixes,Filtro UV-C para tanques e lagos,5,Yes,"Demorou cerca de 15 dias para deixar o lago cristalino, tudo conforme a prescricao do fabricante. Agora vou esperar para ver quanto tempo de vida tem a lampada. Parabéns!",1951.0,M,PR,1,0.8899
2018-04-30 09:38:01,1d3fd79b637c53c965d9f390fd2dd5e0aaa644954dde8d445aebbf9e754de02c,30229536,Fogão Fogareiro Elétrico 2 Bocas Camping Branco 220v Cód0092,,Eletrodomésticos,Fogão,Atendimento Péssimo das Americanas !!!!!!!!!!!!!!!!!!!!!,1,No,"Nunca mais vou comprar nada desse site !!! Além de enviar o produto com voltagem errada, não retornam os e-mail para troca, demora na entrega !!! Depois que fizeram essas parcerias aí com outras lojas nunca mais foi bom comprar das Americanas !!! eu não recomendo para ninguém comprar desse site, está um bela porcaria !!!  Tive que comprar outro fogão, pois estava precisando muito, já recebi o outro e está em uso, e ainda nada de contato dessa loja aí para resolver a troca ou devolução do dinheiro !!!!!!!!!!!!!! H o r r í v e l !!! uma falta de respeito e atenção com o consumido que já realizou muitas compras antes de ser essa porcaria que é agora !!!!  Não recomendo !!! Nunca !!!",1974.0,F,RS,0,0.0008
2018-04-01 17:07:31,2c6878b87fbf985f993f7e23853d00ec88a670e2ea5cac94ec901c052cb57afb,29285631,Kit 12 Cuecas Box Adulto Microfibra Alta Qualidade,,Moda,Masculino,Ruim,1,No,"Produto muito quente não dá para usa, não cumpre o que está escrito não é de microfibra de alta qualidade",1968.0,M,SP,0,0.0095
2018-03-13 16:31:08,0b02318f99a57a516a222687acdd8990d8e82ee7dc159c3937a97b66d71937dd,19996029,Carrinho De Feira Compras Dobrável Com Rodas,,Malas e Acessórios,Carrinhos de Compras,Cumpre o que promete,4,Yes,"Este carrinho é realmente reforçado em relação a outros similares. Então,cumpriu o que anunciou. Além do mais, a variedade de cores é um charme a mais. Eu comprei o preto.",1954.0,F,MG,1,0.8766
2018-01-11 08:35:58,29601bda01e16677a4028f84250837adebaa39a4078db142569d8ba1404428dc,132800801,Aparelho de Jantar 20 Peças Cerâmica Emma  Branco/Preto - at.home by Corona,,Utilidades Domésticas,Pratos e Talheres,Elogio,4,Yes,"Atendeu minhas expectativas , excelente apresentação",1948.0,M,SP,1,0.9998
2018-01-17 08:41:36,632932fe46b0131d7a81b818b417988386049b846982f5138f5446df75840409,28565927,Escova Alisadora Innova Digital,,Beleza e Perfumaria,Aparelhos elétricos para cabelo,Gostei muito do produto,5,Yes,Sempre compro produtos na loja eu indico a americanas para se comprar,1988.0,F,MG,1,0.9229
2018-04-12 12:44:36,2a670f9624d4535f6f0b2ae7a4163966cfd7311c7f3c3a197096a7ad07d46cf1,131468586,Grill Britânia Toast Antiaderente Inox,britania,Eletroportáteis,"Grill, Sanduicheira e Torradeira",Produto Excelente!!!,5,Yes,"Ótimo custo beneficio, recomento a todos! Ainda mais pelo preço tão acessível me surpreendi bastante.",1988.0,M,MG,1,1.0
2018-01-09 06:11:56,cbdc89b322a7e1f183ca852163f8c85f2a0974d3a232ee24928cbe6732859f19,129572309,Guarda-Roupa / Roupeiro 4 Portas Recife com 2 Gavetas Branco - Poliman,at.home,Móveis,Guarda-Roupa,NAO RECEBI AINDA ATRASO ABSURDO !!!!!,1,No,"MUITO ATRASO NA ENTREGA, ABSURDO!  JÁ TEM QUASE DOIS MESES Q FIZ A COMPRA E NÃO RECEBI O GUARDA ROUPA AINDA. COMO VOU AVALIAR SE NÃO RECEBI ?????",1989.0,M,MG,0,0.0012
2018-05-02 16:22:36,2277a3a99e2d4e9a19704080fc0d4a93654677b19bd07103299e3d9f20bfe1fa,124278178,Capa para iPhone 5/5s Policarbonato Nirvana Smile - Customic,customic,Celulares e Smartphones,,Excelente,5,Yes,"Excelente produto para iphone, otima entrega. Recomendo.",1971.0,M,RJ,1,1.0
2018-01-09 07:40:48,62945887fc3b8718c7a90cfa59944037a125ce8d05c43ad287cce11897dde270,7408460,Conjunto de Panelas Tramontina Versalhes Antiaderente 13 Peças,tramontina,Utilidades Domésticas,Panelas,Muito bom!,5,Yes,"Bom como eu imaginei, as panelas são resistentes e de qualidade. Valeu a pena e recomendo a todos que estão pensando em comprar!",2000.0,M,SP,1,0.9879
2018-01-10 10:42:23,ee895e5ab1732eb12cf22136344b2897c4d2dab922f12695ef7e9b3a62ec3e61,5949578,Livro - Manual Completo do Linux: Guia do Administrador,,Livros,Informática,Excelente obra.,5,Yes,"Autores são referência na área, todos que aspiram dominar o sistema Linux, devem ""saborear"" essa obra!!!",1964.0,M,AM,1,0.9964
2018-03-07 07:29:49,73e626098c3084cd486a7b95d9a03cc7f9567ef41bac4d17e65cb2ca60acebd2,25189804,Hoverkart Carrinho Para Hoverboard,,Esporte e Lazer,Skate,facil montagem,4,Yes,carrinho resistente e de fácil montagem. Meu filho adorou,1979.0,M,RJ,1,0.9997
2018-01-19 12:45:54,9d6ebca0314c3f038ebf9c5e17684f8ddeb3c170d9e9bf3460ef57db484458f4,13454361,Hd Seagate Externo Portátil Backup Plus Slim Usb 3.0 2tb Azul - Stdr2000102,,Informática e Acessórios,HD Externo,avaliação,5,Yes,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1960.0,M,SP,0,0.4253
2018-02-28 11:19:55,b095f445df5096896beb49e82322cf9bc5142dea4dcf8a1af705e5dbb3e53165,22825144,Capacete Peels Integral Spike Ghost Preto/rosa,,Automotivo,Capacetes,Otimo,4,Yes,Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !! Ótimo !!,1998.0,F,MG,1,0.9999
2018-05-28 13:56:13,391902e0b76706bf547131dc8112d4bb7f5e9153c68780d8504cfd5656499083,124510299,Suporte para Forno Micro-ondas Brasforma SBR 3.8 Ajustável Branco,brasforma,Eletrodomésticos,Micro-ondas,Gostei muito do produto.,4,Yes,"Na minha opinião o produto é de ótima qualidade, um ótimo material.",1972.0,F,ES,1,0.9995
2018-01-20 04:20:38,57da8de7b6012210bc65ca0df60622b7152cf8a23caca39b25a1c94abae52bc8,22026806,Escorregador Baby com 2 Degraus Rampa Vermelha,,Brinquedos,Playground,Muito bom,5,Yes,"Sensacional o produto  e a entrega bem antes do esperado ""MUITO BOM "";",,M,SP,1,0.9999
2018-03-11 17:59:00,6a03b91460bb0078c26d4a8c8575bd5d09d2131cf68ed38359ffd8cee7e6f6dc,18402609,"Hipercalorico Femini Mass Morango Refil 2,4 Kg Max Titanium",,Suplementos e Vitaminas,Massa Muscular,Excelente,5,Yes,"Otimo produto, adorei um pouco doce mais cria peso bem rapido !",2000.0,F,SP,1,0.9998
2018-01-22 04:46:04,6d94caf7000a43a9b361fae8c7d26a6f0ea2871833e3a2c14f52f8e9697902a6,18481009,Controle Remoto Tv Lg Akb73756504,,TV e Home Theater,Acessórios para TV e Vídeo,Gostei,2,Yes,"Embora de qualidade inferior ao original, mas atende.",1974.0,M,MG,0,0.1735
2018-05-16 10:46:40,991aa6b2a5c22006b672ac0c9919481f103e59d5519c40a03134ef0375d2919e,122886591,Guarda-Roupa / Roupeiro 2 Portas de Correr Berlim MDP Branco - Evidência Móveis,classic home,Móveis,Guarda-Roupa,Avarias no produto (amassados e arranhões) e demora na entrega.,1,No,Produto com avarias. Amassado com um arranhão profundo na lateral. Demora na entrega.,1962.0,F,RJ,0,0.0032
2018-05-06 14:21:13,cd9d3f940cd68b62235831afa31de2995b2057272fa16d54e9e2c175687b0dcb,29535821,Toner Compatível HP CE505A CF280A | P2035 P2055 P2035N M425 M401 M401N,,Informática e Acessórios,Toner,toner compatível,4,Yes,O Produto apresenta exatamente as características de compatibilidade e adaptação nos modelos de impressoras pesquisados.,1967.0,F,RS,1,0.7173
2018-03-21 13:32:01,5a1617259f37f4d90b5adb5a2a2f0949e04d3f84914727d9d48a990ccdc44644,32933822,Givenchy Ange ou Demon Le Secret Elixir - Edp 100ml,,Beleza e Perfumaria,Perfumaria,"O perfume é maravilhoso, porém o revendedor é fajuto",4,Yes,"O perfume é maravilhoso, já utilizei outras versões do perfume e este é sem duvidas o melhor deles. O problema está na luxo Store que decepcionou vendendo um produto que está com validade de vencer daqui a 3 meses, para um perfume de 100 ml. Não comprem desta loja, você será lesado. Preferia ter pago 500,00 por um que estivesse dentro da validade.",1993.0,F,SP,1,0.6085
2018-04-13 16:13:42,465a9882025918f17f6e137e46b3b306138fedb216b246fff63457fe1eef9b72,113278560,Produto  Antipulgas e Carrapatos p/ gatos  - Frontline Plus,merial,Pet Shop,Gatos,Funciona,4,Yes,Apliquei exatamente como o indicado na bula do produto nos meus gatos e no dia seguinte vi que as pulgas diminuiram bastante e começaram a aparecer mortas tambem limpei bem a casa para evitar nova infestação.o produto está cumprindo o que promete e achei de fácil aplicação,1979.0,F,SP,1,0.9895
